city,recorded_at,fetched_at,is_stale,aqi,aqi_category,dominant_pollutant,pm25,pm10,no2,o3,co,so2,temp_c,feels_like_c,humidity_pct,dew_point_c,pressure_hpa,wind_speed_ms,wind_direction_deg,wind_cardinal,wind_gust_ms,visibility_m,visibility_km,weather_main,weather_desc,cloud_cover_pct,sunrise_utc,sunset_utc,weather_fetched_at
Mumbai,2026-04-11 21:00:00,2026-04-11 21:43:05,False,160,Unhealthy,pm25,160,105,2.3,11.5,2.5,11.9,28.99,32.71,70,22.99,1010,3.09,290,W,,4000,4.0,Haze,haze,0,2026-04-11 00:54:34+00:00,2026-04-11 13:24:29+00:00,2026-04-11 21:43:05
Delhi,2026-04-11 21:00:00,2026-04-11 21:43:06,False,116,Unhealthy for Sensitive Groups,pm25,116,114,45.2,1.4,8.8,4.2,28.05,27.13,30,14.05,1008,1.54,320,NW,,4500,4.5,Haze,haze,75,2026-04-11 00:30:07+00:00,2026-04-11 13:13:59+00:00,2026-04-11 21:43:06
Pune,2021-01-01 02:00:00,2026-04-11 21:43:07,True,59,Moderate,pm25,59,26,3.2,27.7,3.7,6.1,30.08,28.83,30,16.08,1011,3.26,292,W,5.44,10000,10.0,Clear,clear sky,0,2026-04-11 00:50:52+00:00,2026-04-11 13:20:08+00:00,2026-04-11 21:43:07
Chennai,2026-04-11 21:00:00,2026-04-11 21:43:08,False,57,Moderate,pm25,57,27,4.9,6.8,4.5,2.3,29.79,36.79,82,26.19,1011,4.12,140,SE,,6000,6.0,Clouds,few clouds,20,2026-04-11 00:28:41+00:00,2026-04-11 12:50:57+00:00,2026-04-11 21:43:08
Kolkata,2026-04-11 21:00:00,2026-04-11 21:43:09,False,103,Unhealthy for Sensitive Groups,pm25,103,62,30.6,3.8,10.5,8.0,26.97,27.84,57,18.37,1008,2.57,150,SE,,3500,3.5,Haze,haze,20,2026-04-10 23:50:05+00:00,2026-04-11 12:24:50+00:00,2026-04-11 21:43:10
Mumbai,2026-04-11 22:00:00,2026-04-11 22:05:05,False,153,Unhealthy,pm25,153,92,2.0,11.5,2.0,11.9,28.99,32.71,70,22.99,1011,3.09,290,W,,4000,4.0,Haze,haze,0,2026-04-11 00:54:34+00:00,2026-04-11 13:24:29+00:00,2026-04-11 22:05:05
Delhi,2026-04-11 22:00:00,2026-04-11 22:05:07,False,132,Unhealthy for Sensitive Groups,pm25,132,114,49.8,0.8,10.6,4.7,28.05,27.13,30,14.05,1008,1.54,320,NW,,4500,4.5,Haze,haze,75,2026-04-11 00:30:07+00:00,2026-04-11 13:13:59+00:00,2026-04-11 22:05:07
Pune,2021-01-01 02:00:00,2026-04-11 22:05:08,True,59,Moderate,pm25,59,26,3.2,27.7,3.7,6.1,30.08,28.83,30,16.08,1012,2.91,286,W,4.74,10000,10.0,Clear,clear sky,0,2026-04-11 00:50:52+00:00,2026-04-11 13:20:08+00:00,2026-04-11 22:05:08
Chennai,2026-04-11 22:00:00,2026-04-11 22:05:09,False,55,Moderate,pm25,55,26,5.1,6.6,4.0,2.5,29.48,36.48,82,25.88,1011,4.12,150,SE,,6000,6.0,Clouds,few clouds,20,2026-04-11 00:28:41+00:00,2026-04-11 12:50:57+00:00,2026-04-11 22:05:09
Kolkata,2026-04-11 21:00:00,2026-04-11 22:05:10,False,103,Unhealthy for Sensitive Groups,pm25,103,62,30.6,3.8,10.5,8.0,26.97,27.84,57,18.37,1008,2.57,150,SE,,3500,3.5,Haze,haze,20,2026-04-10 23:50:05+00:00,2026-04-11 12:24:50+00:00,2026-04-11 22:05:11
Mumbai,2026-05-27 20:00:00,2026-05-27 20:57:57,False,82,Moderate,pm25,82,48,2.3,11.6,2.4,11.9,30.99,37.57,70,24.99,1010,3.09,290,W,,4000,4.0,Haze,haze,20,2026-05-27 00:31:17+00:00,2026-05-27 13:40:30+00:00,2026-05-27 20:57:58
Delhi,2026-05-27 20:00:00,2026-05-27 20:58:00,False,119,Unhealthy for Sensitive Groups,pm10,63,119,43.7,8.0,2.6,6.9,40.05,38.07,15,23.05,999,2.06,280,W,,5000,5.0,Clear,clear sky,0,2026-05-26 23:55:09+00:00,2026-05-27 13:41:41+00:00,2026-05-27 20:58:01
Pune,2021-01-01 02:00:00,2026-05-27 20:58:03,True,59,Moderate,pm25,59,26,3.2,27.7,3.7,6.1,30.22,30.61,45,19.22,1010,5.38,275,W,6.64,10000,10.0,Clouds,broken clouds,64,2026-05-27 00:28:08+00:00,2026-05-27 13:35:36+00:00,2026-05-27 20:58:04
Chennai,2026-05-27 20:00:00,2026-05-27 20:58:06,False,72,Moderate,pm25,72,44,5.2,11.9,9.7,2.2,32.18,38.46,63,24.78,1007,4.12,170,S,,5000,5.0,Haze,haze,20,2026-05-27 00:11:45+00:00,2026-05-27 13:00:35+00:00,2026-05-27 20:58:07
Kolkata,2026-05-27 20:00:00,2026-05-27 20:58:08,False,65,Moderate,pm25,65,46,9.0,11.3,2.6,1.1,25.97,25.97,89,23.77,1007,7.2,110,E,,3500,3.5,Thunderstorm,thunderstorm,75,2026-05-26 23:22:42+00:00,2026-05-27 12:44:54+00:00,2026-05-27 20:58:09
Mumbai,2026-05-29 19:00:00,2026-05-29 20:00:50,False,118,Unhealthy for Sensitive Groups,pm25,118,65,2.4,11.7,2.6,11.9,31.99,38.97,66,25.19,1008,5.66,260,W,,4000,4.0,Haze,haze,40,2026-05-29 00:31:00+00:00,2026-05-29 13:41:17+00:00,2026-05-29 20:00:51
Delhi,2026-05-29 19:00:00,2026-05-29 20:00:52,False,76,Moderate,pm10,63,76,17.3,13.4,3.4,5.2,28.05,29.2,57,19.45,1001,5.66,120,SE,,4500,4.5,Haze,haze,40,2026-05-28 23:54:33+00:00,2026-05-29 13:42:47+00:00,2026-05-29 20:00:53
Pune,2021-01-01 02:00:00,2026-05-29 20:00:54,True,59,Moderate,pm25,59,26,3.2,27.7,3.7,6.1,30.78,30.12,36,17.98,1008,6.39,268,W,6.94,10000,10.0,Clear,clear sky,0,2026-05-29 00:27:52+00:00,2026-05-29 13:36:22+00:00,2026-05-29 20:00:55
Chennai,2026-05-29 19:00:00,2026-05-29 20:00:56,False,78,Moderate,pm25,78,50,5.0,12.8,8.8,2.2,31.85,38.85,75,26.85,1005,5.14,180,S,,6000,6.0,Clouds,scattered clouds,40,2026-05-29 00:11:38+00:00,2026-05-29 13:01:12+00:00,2026-05-29 20:00:59
Kolkata,2026-05-29 19:00:00,2026-05-29 20:01:01,False,46,Good,pm25,46,24,11.1,6.3,4.9,3.0,23.97,24.72,88,21.57,1006,2.06,110,E,,2800,2.8,Haze,haze,20,2026-05-28 23:22:18+00:00,2026-05-29 12:45:48+00:00,2026-05-29 20:01:02
Mumbai,2026-05-30 14:00:00,2026-05-30 14:22:44,False,123,Unhealthy for Sensitive Groups,pm25,123,66,2.4,11.6,2.8,11.9,33.99,40.99,59,25.79,1008,5.14,260,W,,5000,5.0,Smoke,smoke,40,2026-05-30 00:30:53+00:00,2026-05-30 13:41:40+00:00,2026-05-30 14:22:45
